Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",1206,2,22uF,C12891
"C2, C3, C4, C5",0805,4,100nF,C49678
"D1, D2",0805,2,Red,C84256
D3,0805,1,Yellow,C2296
D4,0805,1,Green,C2297
"GPIO10, GPIO11, GPIO4, GPIO5, GPIO6, GPIO7, GPIO9",TestPoint_Pad_2.0x2.0mm,7,~,
"R1, R10, R11, R12, R5, R6, R7",0805,7,1k,C17513
R13,0805,1,100,C17408
"R2, R3",0805,2,5K1,C27834
"R4, R8, R9",0805,3,10k,C17414
"RGBDATA1, RGBDATA2",TestPoint_Pad_1.5x1.5mm,2,TestPoint,
U2,SOT-23-5_HandSoldering,1,74AHCT1G125,C7484
U3,SOT-23-6,1,SRV05-4,C20615829
