Designator,Mid X,Mid Y,Rotation,Layer
C1,29.0,-115.4375,90.0,top
C2,89.85,-109.7625,90.0,top
C3,89.5125,-88.6,180.0,top
C4,93.25,-109.8625,270.0,top
C5,47.0375,-101.5,0.0,top
C6,25.5625,-108.5,0.0,top
D1,26.725001,-111.5,180.0,top
D2,41.524999,-104.5,0.0,top
D3,41.524999,-107.25,0.0,top
D4,41.524999,-110.0,0.0,top
J1,41.35,-117.2,90.0,top
J2,23.9675,-97.75,90.0,top
R1,30.0,-110.5,90.0,top
R10,37.0,-104.5,180.0,top
R11,37.0,-107.25,180.0,top
R12,37.0,-110.0,180.0,top
R13,42.0,-97.0,180.0,top
R2,39.0,-113.2,180.0,top
R3,43.9,-113.2,180.0,top
R4,85.55,-109.9,270.0,top
R5,87.65,-109.8,90.0,top
R6,93.55,-88.6,180.0,top
R7,95.55,-109.9,90.0,top
R8,93.55,-85.4,0.0,top
R9,97.75,-109.9,90.0,top
SW1,91.15,-98.75,0.0,top
U1,68.90316,-100.83,0.0,top
U2,47.35,-98.05,0.0,top
U3,31.5,-96.6375,90.0,top
